width,method,seed,lr,batch_size,schedule,first_below,best_loss,steps,evaluations,key
3,Adam,0,0.01,50,fixed,,2.8299059688999177e-06,50000,,Adam_h3_s0_lr0.01_b50_fixed_e50000
4,Adam,0,0.01,50,fixed,31406,9.999967669902221e-09,31406,,Adam_h4_s0_lr0.01_b50_fixed_e50000
8,Adam,0,0.01,50,fixed,24127,9.997404117371542e-09,24127,,Adam_h8_s0_lr0.01_b50_fixed_e50000
2,Adam,0,0.01,50,fixed,,0.013462319826561021,50000,,Adam_h2_s0_lr0.01_b50_fixed_e50000
2,Adam,1,0.01,50,fixed,,0.02389233959061177,50000,,Adam_h2_s1_lr0.01_b50_fixed_e50000
2,Adam,2,0.01,50,fixed,,0.015402707563723078,50000,,Adam_h2_s2_lr0.01_b50_fixed_e50000
2,Adam,3,0.01,50,fixed,,0.0893285864926434,50000,,Adam_h2_s3_lr0.01_b50_fixed_e50000
2,Adam,4,0.01,50,fixed,,0.012053190960894798,50000,,Adam_h2_s4_lr0.01_b50_fixed_e50000
3,Adam,1,0.01,50,fixed,,3.8260698929411725e-07,50000,,Adam_h3_s1_lr0.01_b50_fixed_e50000
3,Adam,2,0.01,50,fixed,,1.506215915885119e-08,50000,,Adam_h3_s2_lr0.01_b50_fixed_e50000
3,Adam,3,0.01,50,fixed,,2.1823581608146776e-08,50000,,Adam_h3_s3_lr0.01_b50_fixed_e50000
3,Adam,4,0.01,50,fixed,,0.010000026666182302,50000,,Adam_h3_s4_lr0.01_b50_fixed_e50000
3,Adam,5,0.01,50,fixed,44066,9.999284377948586e-09,44066,,Adam_h3_s5_lr0.01_b50_fixed_e50000
3,Adam,6,0.01,50,fixed,,3.055826167785159e-08,50000,,Adam_h3_s6_lr0.01_b50_fixed_e50000
3,Adam,7,0.01,50,fixed,,3.17493345345884e-08,50000,,Adam_h3_s7_lr0.01_b50_fixed_e50000
3,Adam,8,0.01,50,fixed,42906,9.999130358976443e-09,42906,,Adam_h3_s8_lr0.01_b50_fixed_e50000
