hidden,output,seed,method,lr,scale,batch,epochs,first_below,best_loss,output_bias
leaky_relu,relu,0,Adam,0.015,1.0,50,2000,,0.07806050896894993,0.5
leaky_relu,relu,0,Adam,0.02,1.0,50,2000,,0.15,0.5
leaky_relu,relu,0,Adam,0.03,1.0,50,2000,,0.32,0.5
leaky_relu,relu,0,Adam,0.05,1.0,50,2000,,0.3917126446627714,0.5
leaky_relu,relu,1,Adam,0.015,1.0,50,2000,,0.05868939650999166,0.5
leaky_relu,relu,1,Adam,0.02,1.0,50,2000,,0.06300880207147698,0.5
leaky_relu,relu,1,Adam,0.03,1.0,50,2000,,0.28109894324798534,0.5
leaky_relu,relu,1,Adam,0.05,1.0,50,2000,,0.48929829499936206,0.5
leaky_relu,relu,2,Adam,0.015,1.0,50,2000,,0.0960569657592191,0.5
leaky_relu,relu,2,Adam,0.02,1.0,50,2000,,0.16831364133599433,0.5
leaky_relu,relu,2,Adam,0.03,1.0,50,2000,,0.4000000000215661,0.5
leaky_relu,relu,2,Adam,0.05,1.0,50,2000,,0.497754507892392,0.5
leaky_relu,relu,3,Adam,0.015,1.0,50,2000,,0.06802836901316438,0.5
leaky_relu,relu,3,Adam,0.02,1.0,50,2000,,0.130000000378946,0.5
leaky_relu,relu,3,Adam,0.03,1.0,50,2000,,0.36,0.5
leaky_relu,relu,3,Adam,0.05,1.0,50,2000,,0.36,0.5
leaky_relu,relu,4,Adam,0.015,1.0,50,2000,,0.10245608795928485,0.5
leaky_relu,relu,4,Adam,0.02,1.0,50,2000,,0.13561874662812087,0.5
leaky_relu,relu,4,Adam,0.03,1.0,50,2000,,0.17359487074026306,0.5
leaky_relu,relu,4,Adam,0.05,1.0,50,2000,,0.34,0.5
leaky_relu,relu,5,Adam,0.015,1.0,50,2000,,0.09405182114627074,0.5
leaky_relu,relu,5,Adam,0.02,1.0,50,2000,,0.12000016940977393,0.5
leaky_relu,relu,5,Adam,0.03,1.0,50,2000,,0.16000056013031538,0.5
leaky_relu,relu,5,Adam,0.05,1.0,50,2000,,0.390000265780222,0.5
leaky_relu,relu,6,Adam,0.015,1.0,50,2000,,0.06984866827644508,0.5
leaky_relu,relu,6,Adam,0.02,1.0,50,2000,,0.14978590600220396,0.5
leaky_relu,relu,6,Adam,0.03,1.0,50,2000,,0.29,0.5
leaky_relu,relu,6,Adam,0.05,1.0,50,2000,,0.37,0.5
leaky_relu,relu,7,Adam,0.015,1.0,50,2000,,0.040115229133837874,0.5
leaky_relu,relu,7,Adam,0.02,1.0,50,2000,,0.12781846191316928,0.5
leaky_relu,relu,7,Adam,0.03,1.0,50,2000,,0.16000009436725285,0.5
leaky_relu,relu,7,Adam,0.05,1.0,50,2000,,0.29741714973658645,0.5
leaky_relu,relu,8,Adam,0.015,1.0,50,2000,,0.06637601875096578,0.5
leaky_relu,relu,8,Adam,0.02,1.0,50,2000,,0.05257311398450314,0.5
leaky_relu,relu,8,Adam,0.03,1.0,50,2000,,0.31000000001084904,0.5
leaky_relu,relu,8,Adam,0.05,1.0,50,2000,,0.48920712178474346,0.5
leaky_relu,relu,9,Adam,0.015,1.0,50,2000,,0.2800000002012862,0.5
leaky_relu,relu,9,Adam,0.02,1.0,50,2000,,0.2800000000000071,0.5
leaky_relu,relu,9,Adam,0.03,1.0,50,2000,,0.3,0.5
leaky_relu,relu,9,Adam,0.05,1.0,50,2000,,0.37,0.5
leaky_relu,relu,10,Adam,0.015,1.0,50,2000,,0.040000000376665186,0.5
leaky_relu,relu,10,Adam,0.02,1.0,50,2000,,0.028411875508385576,0.5
leaky_relu,relu,10,Adam,0.03,1.0,50,2000,,0.08,0.5
leaky_relu,relu,10,Adam,0.05,1.0,50,2000,,0.23,0.5
leaky_relu,relu,11,Adam,0.015,1.0,50,2000,,0.06061229997182101,0.5
leaky_relu,relu,11,Adam,0.02,1.0,50,2000,,0.08000000007477066,0.5
leaky_relu,relu,11,Adam,0.03,1.0,50,2000,,0.22476673505251718,0.5
leaky_relu,relu,11,Adam,0.05,1.0,50,2000,,0.47,0.5
leaky_relu,relu,12,Adam,0.015,1.0,50,2000,,0.010002317036705344,0.5
leaky_relu,relu,12,Adam,0.02,1.0,50,2000,,0.06316010307000476,0.5
leaky_relu,relu,12,Adam,0.03,1.0,50,2000,,0.17,0.5
leaky_relu,relu,12,Adam,0.05,1.0,50,2000,,0.43,0.5
leaky_relu,relu,13,Adam,0.015,1.0,50,2000,,0.28,0.5
leaky_relu,relu,13,Adam,0.02,1.0,50,2000,,0.31,0.5
leaky_relu,relu,13,Adam,0.03,1.0,50,2000,,0.43000000045940184,0.5
leaky_relu,relu,13,Adam,0.05,1.0,50,2000,,0.4,0.5
leaky_relu,relu,14,Adam,0.015,1.0,50,2000,,0.0694840937531997,0.5
leaky_relu,relu,14,Adam,0.02,1.0,50,2000,,0.06960550333693108,0.5
leaky_relu,relu,14,Adam,0.03,1.0,50,2000,,0.26,0.5
leaky_relu,relu,14,Adam,0.05,1.0,50,2000,,0.4961480255823242,0.5
leaky_relu,relu,15,Adam,0.015,1.0,50,2000,,0.12000253705312446,0.5
leaky_relu,relu,15,Adam,0.02,1.0,50,2000,,0.18049448536160903,0.5
leaky_relu,relu,15,Adam,0.03,1.0,50,2000,,0.46,0.5
leaky_relu,relu,15,Adam,0.05,1.0,50,2000,,0.46,0.5
leaky_relu,relu,16,Adam,0.015,1.0,50,2000,,0.29,0.5
leaky_relu,relu,16,Adam,0.02,1.0,50,2000,,0.34,0.5
leaky_relu,relu,16,Adam,0.03,1.0,50,2000,,0.4873441368640933,0.5
leaky_relu,relu,16,Adam,0.05,1.0,50,2000,,0.48816102642489845,0.5
leaky_relu,relu,17,Adam,0.015,1.0,50,2000,,0.08983418779698293,0.5
leaky_relu,relu,17,Adam,0.02,1.0,50,2000,,0.16,0.5
