hidden,output,seed,method,lr,scale,batch,epochs,first_below,best_loss
sigmoid,sigmoid,0,Adam,0.01,1,50,500,,0.2490835271176852
sigmoid,softplus,0,Adam,0.01,1,50,500,,0.2178923222067099
sigmoid,relu,0,Adam,0.01,1,50,500,,0.147862010220511
tanh,sigmoid,0,Adam,0.01,1,50,500,,0.19781154119762298
tanh,softplus,0,Adam,0.01,1,50,500,,0.15687324602670935
tanh,relu,0,Adam,0.01,1,50,500,,0.11622203412284715
softplus,sigmoid,0,Adam,0.01,1,50,500,,0.12657806644655462
softplus,softplus,0,Adam,0.01,1,50,500,,0.08578511954217291
softplus,relu,0,Adam,0.01,1,50,500,,0.11106332313106936
relu,sigmoid,0,Adam,0.01,1,50,500,,0.3646041688953694
relu,softplus,0,Adam,0.01,1,50,500,,0.3616713384687821
relu,relu,0,Adam,0.01,1,50,500,,0.44639999999999985
leaky_relu,sigmoid,0,Adam,0.01,1,50,500,,0.11286745564860948
leaky_relu,softplus,0,Adam,0.01,1,50,500,,0.10732769691448961
leaky_relu,relu,0,Adam,0.01,1,50,500,,0.15006347836163642
sigmoid,sigmoid,0,Adam,0.01,1,50,5000,,0.08412331310583117
sigmoid,sigmoid,1,Adam,0.01,1,50,5000,,0.0798812250609724
sigmoid,sigmoid,2,Adam,0.01,1,50,5000,,0.0672723985630989
sigmoid,sigmoid,3,Adam,0.01,1,50,5000,,0.07779330218459747
sigmoid,sigmoid,4,Adam,0.01,1,50,5000,,0.0822468520600296
sigmoid,softplus,0,Adam,0.01,1,50,5000,,0.06706717190252488
sigmoid,softplus,1,Adam,0.01,1,50,5000,,0.06490645725396672
sigmoid,softplus,2,Adam,0.01,1,50,5000,,0.05402457557936361
sigmoid,softplus,3,Adam,0.01,1,50,5000,,0.06273136211646596
sigmoid,softplus,4,Adam,0.01,1,50,5000,,0.06640792965268917
sigmoid,relu,0,Adam,0.01,1,50,5000,,0.03258567861640663
sigmoid,relu,1,Adam,0.01,1,50,5000,,5.408519010549148e-06
sigmoid,relu,2,Adam,0.01,1,50,5000,,0.0006458464534710661
sigmoid,relu,3,Adam,0.01,1,50,5000,,0.00017547926015084502
sigmoid,relu,4,Adam,0.01,1,50,5000,,0.00011787229131059353
tanh,sigmoid,0,Adam,0.01,1,50,5000,,0.07019574965047443
tanh,sigmoid,1,Adam,0.01,1,50,5000,,0.07170146984713396
tanh,sigmoid,2,Adam,0.01,1,50,5000,,0.07555268242129048
tanh,sigmoid,3,Adam,0.01,1,50,5000,,0.0868680442136945
tanh,sigmoid,4,Adam,0.01,1,50,5000,,0.06973397870288726
tanh,softplus,0,Adam,0.01,1,50,5000,,0.03509241840324317
tanh,softplus,1,Adam,0.01,1,50,5000,,0.057832028923223734
tanh,softplus,2,Adam,0.01,1,50,5000,,0.06034465195161223
tanh,softplus,3,Adam,0.01,1,50,5000,,0.04141749134606009
tanh,softplus,4,Adam,0.01,1,50,5000,,0.048362346228413663
tanh,relu,0,Adam,0.01,1,50,5000,,0.0008805280928335082
tanh,relu,1,Adam,0.01,1,50,5000,,0.0002008147724460159
tanh,relu,2,Adam,0.01,1,50,5000,,0.0009083767679727653
tanh,relu,3,Adam,0.01,1,50,5000,,0.040000515569545814
tanh,relu,4,Adam,0.01,1,50,5000,,0.029949429598869686
softplus,sigmoid,0,Adam,0.01,1,50,5000,,0.00047181917878277537
softplus,sigmoid,1,Adam,0.01,1,50,5000,,0.0003479665993980069
softplus,sigmoid,2,Adam,0.01,1,50,5000,,0.00027742749625622926
softplus,sigmoid,3,Adam,0.01,1,50,5000,,0.0004762268321510645
softplus,sigmoid,4,Adam,0.01,1,50,5000,,0.00040354737567022613
softplus,softplus,0,Adam,0.01,1,50,5000,,0.010422872415827034
softplus,softplus,1,Adam,0.01,1,50,5000,,0.0005423343419803508
softplus,softplus,2,Adam,0.01,1,50,5000,,0.00039976373534468426
softplus,softplus,3,Adam,0.01,1,50,5000,,0.00041491205214811084
softplus,softplus,4,Adam,0.01,1,50,5000,,0.00048794644640325644
softplus,relu,0,Adam,0.01,1,50,5000,,1.2989201106176058e-05
